scenario_id,method,n,p,contamination_type,contamination_rate,contamination_strength,true_ate,n_mc,bias,mse,var,rmse,mae,coverage,n_valid,elapsed_sec,mcse_bias,mcse_mse,mcse_rmse
18,aipw_robust,1000,20,covariate,0.0,3,2,2000,0.0008004547161433,0.0079304637640067,0.0079337899312197,0.0890531513423681,0.0716263542126799,0.9465,2000,3615.11858797073,0.00199170654605789,0.00025090872737214124,0.001408758272952708
18,reg_adj,1000,20,covariate,0.0,3,2,2000,0.0090081929322107,0.0056531677365202,0.0055748076004164,0.075187550409095,0.0602070822937691,0.9535,2000,3615.11858797073,0.0016695519758929938,0.00017883859657826526,0.0011892833029218638
18,adaptive,1000,20,covariate,0.0,3,2,2000,0.0090081929322107,0.0056531677365202,0.0055748076004164,0.075187550409095,0.0602070822937691,0.9535,2000,3615.11858797073,0.0016695519758929938,0.00017883859657826526,0.0011892833029218638
19,naive,200,5,outcome,0.0,3,2,2000,0.0084794080966172,0.0299141139537623,0.0298571421631749,0.172956971393935,0.138117688477644,0.952,2000,187.647414922714,0.003863750908325671,0.0009464366945506207,0.002736046679480099
19,ipw_robust,200,5,outcome,0.0,3,2,2000,-0.0216901234370901,0.0302945428436081,0.0298390008893366,0.174053275877267,0.138474525962624,0.95,2000,187.647414922714,0.0038625769176377964,0.0009583538874576454,0.00275304754428588
19,dr_robust,200,5,outcome,0.0,3,2,2000,0.0028753588588035,0.0291638935527789,0.0291702109696969,0.170774393726867,0.136389959495694,0.9515,2000,187.647414922714,0.003819045101180196,0.0009227044751468814,0.002701530525187036
19,aipw_robust,200,5,outcome,0.0,3,2,2000,0.001982226319952,0.0396768671416299,0.0396927843126027,0.199190529748856,0.158718208971671,0.9465,2000,187.647414922714,0.004454928973205,0.0012553202977506205,0.0031510541674178915
19,reg_adj,200,5,outcome,0.0,3,2,2000,0.0060461388933794,0.0276399505898089,0.0276172033959889,0.166252670925339,0.132248942454879,0.9475,2000,187.647414922714,0.003715992693479691,0.0008744878850479683,0.0026299964992462727
19,adaptive,200,5,outcome,0.0,3,2,2000,0.006054353165021,0.0275933858613605,0.0275705159270773,0.16611256984756,0.13212418506104,0.9475,2000,187.647414922714,0.0037128503825953787,0.0008730146353919412,0.0026277801739901406
20,naive,500,5,outcome,0.0,3,2,2000,0.0086385326170948,0.0112032371700573,0.0111341800142879,0.105845345528546,0.085119010459717,0.9555,2000,399.71465587616,0.002359468161926316,0.0003544456575589305,0.0016743563724459574
20,ipw_robust,500,5,outcome,0.0,3,2,2000,-0.0190787006962647,0.0117653117240382,0.011407018412987,0.10846802166555,0.0865630825957491,0.943,2000,399.71465587616,0.0023882020866110767,0.0003720541707011493,0.0017150408248817338
